word,guess,solution_w,frequency,negative,neutral,positive,remaining_mean,remaining_median
paste,1.0,1.0,6.568624e-06,0.0,1.0,0.0,459.830669546,285.0
rinse,1.0,1.0,2.34205e-06,0.0,1.0,0.0,420.610799136,288.0
false,1.0,1.0,4.605044e-05,0.0,1.0,0.0,520.857019438,288.0
shine,1.0,1.0,7.714616000000001e-06,0.0,1.0,0.0,552.820302376,289.0
scale,1.0,1.0,8.252088000000001e-05,0.0,1.0,0.0,416.366306695,289.0
crest,1.0,1.0,5.386412e-06,0.0,1.0,0.0,540.32699784,290.0
alter,1.0,1.0,1.361182e-05,0.0,1.0,0.0,417.889416847,290.0
trail,1.0,1.0,2.750118e-05,0.0,1.0,0.0,505.535205184,293.0
tenor,1.0,1.0,2.498178e-06,0.0,1.0,0.0,527.824190065,294.0
trace,1.0,1.0,2.248894e-05,0.0,1.0,0.0,479.267818575,296.0
later,1.0,1.0,0.0002644112,0.0,1.0,0.0,398.247084233,296.0
cairn,1.0,1.0,6.375736e-07,0.0,1.0,0.0,658.909287257,297.0
trial,1.0,1.0,5.735798e-05,0.0,1.0,0.0,521.347300216,298.0
parse,1.0,1.0,8.604362e-07,0.0,1.0,0.0,401.473866091,301.0
beast,1.0,1.0,1.728846e-05,0.0,1.0,0.0,515.01425486,301.0
baste,1.0,1.0,2.504562e-07,0.0,1.0,0.0,485.93650108,303.0
snare,1.0,1.0,1.813148e-06,0.0,1.0,0.0,326.092440605,303.0
coast,1.0,1.0,3.537194e-05,0.0,1.0,0.0,543.957235421,303.0
noise,1.0,1.0,4.466944e-05,0.0,1.0,0.0,430.828077754,304.0
alone,1.0,1.0,0.0001390248,1.0,0.0,0.0,470.301511879,306.0
shone,1.0,1.0,8.174736000000002e-06,0.0,1.0,0.0,525.76112311,307.0
steal,1.0,1.0,1.035626e-05,1.0,0.0,0.0,429.201295896,307.0
solar,1.0,1.0,2.172242e-05,0.0,1.0,0.0,382.481641469,307.0
waste,1.0,1.0,4.196058e-05,1.0,0.0,0.0,527.992224622,310.0
scare,1.0,1.0,5.667022e-06,1.0,0.0,0.0,376.782721382,312.0
shirt,1.0,1.0,3.785631999999999e-05,0.0,1.0,0.0,682.15161987,312.0
lapse,1.0,1.0,2.905818e-06,0.0,1.0,0.0,461.171490281,313.0
react,1.0,1.0,1.326086e-05,0.0,1.0,0.0,502.855291577,313.0
score,1.0,1.0,3.140676e-05,0.0,1.0,0.0,434.306695464,313.0
skate,1.0,1.0,1.177418e-06,0.0,1.0,0.0,494.690712743,314.0
train,1.0,1.0,4.924028e-05,0.0,1.0,0.0,564.252267819,314.0
crust,1.0,1.0,5.310186e-06,0.0,1.0,0.0,784.687257019,315.0
sauce,1.0,1.0,1.495974e-05,0.0,1.0,0.0,430.795680346,317.0
saint,1.0,1.0,2.562898e-05,0.0,1.0,0.0,477.740388769,317.0
paint,1.0,1.0,1.85821e-05,0.0,1.0,0.0,776.499352052,318.0
tripe,1.0,1.0,3.019496e-07,0.0,1.0,0.0,615.128725702,319.0
those,1.0,1.0,0.0006227976,0.0,1.0,0.0,568.539092873,319.0
snort,1.0,1.0,2.0907960000000003e-06,0.0,1.0,0.0,537.851835853,320.0
share,1.0,1.0,9.595332e-05,0.0,0.0,1.0,392.815982721,320.0
spite,1.0,1.0,2.294582e-05,1.0,0.0,0.0,550.230669546,321.0
leash,1.0,1.0,2.36936e-06,0.0,1.0,0.0,492.350323974,322.0
crane,1.0,1.0,4.765064e-06,0.0,1.0,0.0,498.961555076,323.0
alien,1.0,1.0,1.2803640000000002e-05,0.0,1.0,0.0,484.812958963,325.0
paler,1.0,1.0,1.497338e-06,0.0,1.0,0.0,504.206911447,326.0
siren,1.0,1.0,2.44073e-06,0.0,1.0,0.0,374.775809935,326.0
stain,1.0,1.0,5.291407999999999e-06,0.0,1.0,0.0,528.934773218,327.0
leant,1.0,1.0,2.009284e-06,0.0,1.0,0.0,473.263066955,328.0
trade,1.0,1.0,0.0001108242999999,0.0,1.0,0.0,489.741684665,328.0
islet,1.0,1.0,1.0200587999999998e-06,0.0,1.0,0.0,495.500647948,329.0
stage,1.0,1.0,0.0001021426,0.0,1.0,0.0,465.342116631,329.0
short,1.0,1.0,0.0001699272,0.0,1.0,0.0,669.729589633,329.0
court,1.0,1.0,0.0001775598,0.0,1.0,0.0,896.050971922,329.0
heart,1.0,1.0,0.000236139,0.0,0.0,1.0,548.295464363,329.0
crone,1.0,1.0,7.000125999999999e-07,0.0,1.0,0.0,588.917926566,330.0
sweat,1.0,1.0,1.619272e-05,0.0,1.0,0.0,597.300647948,331.0
smote,1.0,1.0,1.976328e-06,0.0,1.0,0.0,517.365010799,332.0
spare,1.0,1.0,1.528534e-05,0.0,1.0,0.0,407.243196544,333.0
slime,1.0,1.0,1.461256e-06,0.0,1.0,0.0,520.564578834,334.0
cater,1.0,1.0,1.7490899999999998e-06,0.0,1.0,0.0,476.612095032,334.0
liner,1.0,1.0,2.2117920000000004e-06,0.0,1.0,0.0,524.312311015,334.0
smite,1.0,1.0,1.0147328e-06,0.0,1.0,0.0,536.178401728,335.0
close,1.0,1.0,0.0001778698,0.0,1.0,0.0,504.186177106,335.0
stole,1.0,1.0,8.510102e-06,0.0,1.0,0.0,403.320086393,336.0
range,1.0,1.0,0.0001152816,0.0,1.0,0.0,579.718358531,336.0
scone,1.0,1.0,3.910542e-07,0.0,1.0,0.0,505.444924406,337.0
satin,1.0,1.0,3.21067e-06,0.0,1.0,0.0,492.793520518,337.0
trope,1.0,1.0,2.159768e-06,0.0,1.0,0.0,595.922678186,339.0
alert,1.0,1.0,1.379888e-05,0.0,0.0,1.0,451.345140389,341.0
stone,1.0,1.0,6.737876e-05,0.0,1.0,0.0,438.006911447,341.0
sedan,1.0,1.0,1.91692e-06,0.0,1.0,0.0,459.32699784,342.0
onset,1.0,1.0,1.510934e-05,0.0,1.0,0.0,504.971490281,342.0
stead,1.0,1.0,2.429294e-06,0.0,1.0,0.0,477.900215983,343.0
erase,1.0,1.0,3.015244e-06,0.0,1.0,0.0,524.464794816,343.0
pulse,1.0,1.0,1.973968e-05,0.0,1.0,0.0,683.483801296,345.0
print,1.0,1.0,3.042962e-05,0.0,1.0,0.0,899.981425486,345.0
cause,1.0,1.0,0.0001299014,0.0,1.0,0.0,466.464362851,346.0
tease,1.0,1.0,3.637382e-06,1.0,0.0,0.0,530.190928726,347.0
prone,1.0,1.0,9.107966e-06,0.0,1.0,0.0,613.95637149,347.0
singe,1.0,1.0,2.1927780000000006e-07,0.0,1.0,0.0,610.644060475,348.0
inter,1.0,1.0,1.81771e-05,0.0,1.0,0.0,580.334773218,349.0
shear,1.0,1.0,1.0598022e-05,0.0,1.0,0.0,434.2587473,350.0
earth,1.0,1.0,0.0001247458,0.0,1.0,0.0,582.870842333,352.0
cadet,1.0,1.0,1.263582e-06,0.0,1.0,0.0,585.115334773,353.0
slant,1.0,1.0,1.297766e-06,0.0,1.0,0.0,486.933045356,353.0
lance,1.0,1.0,5.786344e-06,0.0,1.0,0.0,548.580561555,353.0
dealt,1.0,1.0,1.461438e-05,0.0,1.0,0.0,536.47300216,353.0
crime,1.0,1.0,6.112290000000001e-05,1.0,0.0,0.0,738.2825054,354.0
adore,1.0,1.0,2.045672e-06,0.0,0.0,1.0,512.148164147,355.0
crept,1.0,1.0,7.827064e-06,0.0,1.0,0.0,834.904535637,355.0
slide,1.0,1.0,1.49906e-05,0.0,1.0,0.0,487.393952484,355.0
ascot,1.0,1.0,2.7119800000000004e-07,0.0,1.0,0.0,670.33650108,356.0
tread,1.0,1.0,3.679906e-06,0.0,1.0,0.0,554.498488121,356.0
chair,1.0,1.0,6.993162000000001e-05,0.0,1.0,0.0,833.730453564,356.0
trite,1.0,1.0,5.52296e-07,1.0,0.0,0.0,823.167170626,357.0
smile,1.0,1.0,0.00010434256,0.0,0.0,1.0,529.11187905,357.0
tamer,1.0,1.0,3.646246e-07,0.0,1.0,0.0,514.884233261,358.0
clear,1.0,1.0,0.000166256,0.0,0.0,1.0,547.270410367,358.0
suave,1.0,1.0,5.80038e-07,0.0,0.0,1.0,587.310151188,359.0
grate,1.0,1.0,2.002478e-06,0.0,1.0,0.0,527.099784017,359.0
urine,1.0,1.0,1.0791088e-05,0.0,1.0,0.0,595.44838013,359.0
acute,1.0,1.0,3.285576e-05,0.0,1.0,0.0,651.890280778,359.0
inlet,1.0,1.0,3.896728000000001e-06,0.0,1.0,0.0,599.563714903,361.0
pause,1.0,1.0,1.8683760000000003e-05,0.0,1.0,0.0,501.652699784,361.0
space,1.0,1.0,0.0001713682,0.0,1.0,0.0,526.254427646,361.0
stein,1.0,1.0,5.125034e-06,0.0,1.0,0.0,541.574082073,362.0
stand,1.0,1.0,9.126014e-05,0.0,1.0,0.0,603.467386609,362.0
meant,1.0,1.0,9.322366e-05,0.0,1.0,0.0,609.915766739,362.0
price,1.0,1.0,9.274856e-05,0.0,1.0,0.0,729.783153348,363.0
taper,1.0,1.0,1.4024260000000002e-06,0.0,1.0,0.0,507.672570194,364.0
tried,1.0,1.0,0.00012798,0.0,1.0,0.0,607.593520518,364.0
snail,1.0,1.0,1.7184939999999998e-06,0.0,1.0,0.0,500.79524838,365.0
cleat,1.0,1.0,1.59449e-07,0.0,1.0,0.0,608.402591793,366.0
staid,1.0,1.0,8.263488e-07,0.0,1.0,0.0,560.433693305,366.0
risen,1.0,1.0,9.110026e-06,0.0,1.0,0.0,448.620734341,366.0
lease,1.0,1.0,1.0117356e-05,0.0,1.0,0.0,541.201295896,367.0
glint,1.0,1.0,2.028712e-06,0.0,1.0,0.0,1106.82116631,368.0
chaos,1.0,1.0,1.3899600000000002e-05,1.0,0.0,0.0,691.617710583,369.0
steam,1.0,1.0,1.670068e-05,0.0,1.0,0.0,543.834557235,369.0
state,1.0,1.0,0.000449152,0.0,1.0,0.0,597.859611231,369.0
heist,1.0,1.0,4.181572e-07,0.0,1.0,0.0,610.803887689,371.0
louse,1.0,1.0,4.854248e-07,1.0,0.0,0.0,477.354643629,371.0
cried,1.0,1.0,4.94015e-05,1.0,0.0,0.0,719.952915767,371.0
acorn,1.0,1.0,8.802106000000002e-07,0.0,1.0,0.0,727.612526998,372.0
tonal,1.0,1.0,1.538918e-06,0.0,1.0,0.0,610.53650108,372.0
clone,1.0,1.0,2.002356e-06,0.0,1.0,0.0,649.057451404,372.0
resin,1.0,1.0,4.011762e-06,0.0,1.0,0.0,475.924406048,372.0
drone,1.0,1.0,4.039548e-06,0.0,1.0,0.0,619.002159827,372.0
grace,1.0,1.0,5.0461500000000005e-05,0.0,0.0,1.0,643.720950324,372.0
rouse,1.0,1.0,2.27501e-06,0.0,1.0,0.0,431.224190065,373.0
scent,1.0,1.0,1.45058e-05,0.0,1.0,0.0,619.372354212,374.0
layer,1.0,1.0,4.4861e-05,0.0,1.0,0.0,485.625917927,374.0
flirt,1.0,1.0,1.5840019999999998e-06,0.0,1.0,0.0,971.322678186,375.0
brine,1.0,1.0,1.660144e-06,0.0,1.0,0.0,699.955939525,375.0
loser,1.0,1.0,2.284684e-06,1.0,0.0,0.0,398.067818575,375.0
plier,1.0,1.0,2.712302e-08,0.0,1.0,0.0,611.924406048,376.0
tango,1.0,1.0,1.32907e-06,0.0,1.0,0.0,852.750323974,376.0
atone,1.0,1.0,8.432026000000001e-07,0.0,1.0,0.0,482.810367171,378.0
agile,1.0,1.0,3.85706e-06,0.0,1.0,0.0,641.18012959,378.0
snake,1.0,1.0,1.11802e-05,0.0,1.0,0.0,531.8825054,378.0
pilot,1.0,1.0,2.0096700000000004e-05,0.0,1.0,0.0,876.513174946,378.0
their,1.0,1.0,0.002028576,0.0,1.0,0.0,690.276025918,378.0
hater,1.0,1.0,4.01476e-07,1.0,0.0,0.0,512.775809935,379.0
lager,1.0,1.0,8.165786e-07,0.0,1.0,0.0,543.489416847,379.0
large,1.0,1.0,0.0002670708,0.0,1.0,0.0,520.24838013,379.0
nicer,1.0,1.0,1.80152e-06,0.0,0.0,1.0,652.685097192,380.0
route,1.0,1.0,3.2866119999999995e-05,0.0,1.0,0.0,522.628941685,380.0
dance,1.0,1.0,4.21535e-05,0.0,1.0,0.0,657.878617711,380.0
table,1.0,1.0,0.0002835378,0.0,1.0,0.0,578.369762419,380.0
ratio,1.0,1.0,4.400232e-05,0.0,1.0,0.0,524.075161987,381.0
trend,1.0,1.0,2.063926e-05,0.0,1.0,0.0,700.631533477,382.0
safer,1.0,1.0,7.305395999999999e-06,0.0,0.0,1.0,435.056587473,383.0
chore,1.0,1.0,1.130718e-06,0.0,1.0,0.0,762.552483801,384.0
spent,1.0,1.0,7.02283e-05,0.0,1.0,0.0,668.857451404,384.0
leapt,1.0,1.0,4.883072e-06,0.0,1.0,0.0,580.833261339,385.0
trash,1.0,1.0,6.82154e-06,0.0,1.0,0.0,604.017710583,385.0
spine,1.0,1.0,1.564424e-05,0.0,1.0,0.0,576.659179266,385.0
satyr,1.0,1.0,4.89088e-07,0.0,1.0,0.0,475.171490281,386.0
smear,1.0,1.0,2.323496e-06,1.0,0.0,0.0,452.410367171,386.0
cable,1.0,1.0,1.29092e-05,0.0,1.0,0.0,722.686825054,386.0
tribe,1.0,1.0,1.401654e-05,0.0,1.0,0.0,658.555507559,386.0
horse,1.0,1.0,5.850564000000001e-05,0.0,1.0,0.0,479.549028078,386.0
plied,1.0,1.0,7.623356000000001e-07,0.0,1.0,0.0,853.087688985,387.0
tapir,1.0,1.0,1.3233748e-07,0.0,1.0,0.0,651.776673866,388.0
snore,1.0,1.0,6.86051e-07,0.0,1.0,0.0,381.198272138,388.0
spade,1.0,1.0,1.860398e-06,0.0,1.0,0.0,525.888984881,388.0
salon,1.0,1.0,3.841568e-06,0.0,1.0,0.0,457.084233261,388.0
spear,1.0,1.0,6.900210000000001e-06,0.0,1.0,0.0,456.063930886,388.0
nurse,1.0,1.0,2.986808e-05,0.0,1.0,0.0,492.749460043,388.0
write,1.0,1.0,8.124126e-05,0.0,1.0,0.0,703.28812095,388.0
shade,1.0,1.0,1.405918e-05,0.0,1.0,0.0,507.640172786,390.0
arson,1.0,1.0,1.302002e-06,0.0,1.0,0.0,490.844924406,391.0
boast,1.0,1.0,3.5578840000000003e-06,0.0,1.0,0.0,613.578401728,392.0
drape,1.0,1.0,8.488932e-07,0.0,1.0,0.0,630.529589633,393.0
hoist,1.0,1.0,1.0724059999999998e-06,0.0,1.0,0.0,731.980993521,393.0
clout,1.0,1.0,1.105019e-06,0.0,1.0,0.0,993.426349892,393.0
wrote,1.0,1.0,7.987140000000001e-05,0.0,1.0,0.0,699.98012959,393.0
crisp,1.0,1.0,6.304197999999999e-06,0.0,1.0,0.0,834.157667387,394.0
carol,1.0,1.0,8.942160000000001e-06,0.0,1.0,0.0,593.675593952,394.0
slope,1.0,1.0,1.636128e-05,0.0,1.0,0.0,515.165010799,395.0
panel,1.0,1.0,2.584208e-05,0.0,1.0,0.0,564.351187905,395.0
artsy,1.0,1.0,2.038054e-07,0.0,1.0,0.0,540.103671706,396.0
lathe,1.0,1.0,5.315358e-07,0.0,1.0,0.0,555.325269978,396.0
pried,1.0,1.0,8.735562000000001e-07,0.0,1.0,0.0,771.093736501,396.0
farce,1.0,1.0,1.52324e-06,1.0,0.0,0.0,672.348596112,396.0
grope,1.0,1.0,4.96885e-07,0.0,1.0,0.0,813.241468683,397.0
olden,1.0,1.0,8.317202000000001e-07,0.0,1.0,0.0,736.135637149,397.0
brace,1.0,1.0,4.024002e-06,0.0,1.0,0.0,666.104967603,397.0
slain,1.0,1.0,4.759912e-06,0.0,1.0,0.0,491.511015119,397.0
chest,1.0,1.0,6.941442e-05,0.0,1.0,0.0,872.043196544,397.0
elate,1.0,1.0,7.154937999999999e-08,0.0,1.0,0.0,673.867818575,399.0
grail,1.0,1.0,1.30267e-06,0.0,1.0,0.0,692.274298056,399.0
decor,1.0,1.0,1.307658e-06,0.0,1.0,0.0,760.508423326,399.0
plane,1.0,1.0,3.941966e-05,0.0,1.0,0.0,584.856155508,399.0
anime,1.0,1.0,7.225968e-07,0.0,1.0,0.0,652.629805616,400.0
spelt,1.0,1.0,1.0245672e-06,0.0,1.0,0.0,628.093736501,400.0
actor,1.0,1.0,1.7857680000000002e-05,0.0,1.0,0.0,687.601295896,400.0
slept,1.0,1.0,1.864806e-05,0.0,1.0,0.0,624.621598272,400.0
brunt,1.0,1.0,1.457106e-06,0.0,1.0,0.0,1124.94557235,401.0
glare,1.0,1.0,7.054416e-06,0.0,1.0,0.0,544.587473002,402.0
salve,1.0,1.0,9.017162e-07,0.0,1.0,0.0,521.124406048,403.0
talon,1.0,1.0,1.1569264e-06,0.0,1.0,0.0,586.919654428,403.0
taker,1.0,1.0,1.180268e-06,0.0,1.0,0.0,553.122678186,403.0
triad,1.0,1.0,2.384348e-06,0.0,1.0,0.0,641.848812095,403.0
slave,1.0,1.0,2.8156920000000003e-05,0.0,1.0,0.0,545.417710583,403.0
tilde,1.0,1.0,1.198664e-07,0.0,1.0,0.0,648.358531317,404.0
remit,1.0,1.0,1.549288e-06,0.0,1.0,0.0,666.636285097,404.0
chasm,1.0,1.0,1.894996e-06,0.0,1.0,0.0,1101.34168467,404.0
shalt,1.0,1.0,9.08972e-06,0.0,1.0,0.0,632.980561555,404.0
merit,1.0,1.0,9.969728e-06,0.0,0.0,1.0,636.309719222,404.0
plate,1.0,1.0,3.89231e-05,0.0,1.0,0.0,552.228941685,405.0
agree,1.0,1.0,4.221286e-05,0.0,0.0,1.0,848.791792657,405.0
aside,1.0,1.0,4.260204e-05,0.0,1.0,0.0,490.188768898,405.0
droit,1.0,1.0,1.777768e-06,0.0,1.0,0.0,745.507991361,406.0
inert,1.0,1.0,2.840616e-06,0.0,1.0,0.0,623.951187905,406.0
shore,1.0,1.0,2.205852e-05,0.0,1.0,0.0,450.635853132,406.0
china,1.0,1.0,0.0001054906799999,0.0,1.0,0.0,1130.61511879,406.0
sloth,1.0,1.0,8.071266e-07,0.0,1.0,0.0,727.077321814,407.0
point,1.0,1.0,0.000306212,0.0,1.0,0.0,942.520950324,407.0
great,1.0,1.0,0.0003802658,0.0,0.0,1.0,597.419438445,407.0
relay,1.0,1.0,3.992182e-06,0.0,1.0,0.0,531.370194384,408.0
chart,1.0,1.0,1.76125e-05,0.0,1.0,0.0,922.525269978,408.0
early,1.0,1.0,0.000251875,0.0,1.0,0.0,542.650107991,408.0
afire,1.0,1.0,4.173978e-07,0.0,1.0,0.0,605.18012959,409.0
grunt,1.0,1.0,2.585168e-06,0.0,1.0,0.0,1149.67386609,409.0
teary,1.0,1.0,5.305766000000001e-07,0.0,1.0,0.0,492.3412527,410.0
shoal,1.0,1.0,6.679824e-07,0.0,1.0,0.0,582.712311015,410.0
spore,1.0,1.0,8.920885999999999e-07,0.0,1.0,0.0,469.922678186,410.0
splat,1.0,1.0,2.558886e-07,0.0,1.0,0.0,650.938228942,411.0
crony,1.0,1.0,3.170874000000001e-07,0.0,1.0,0.0,971.636717063,411.0
timer,1.0,1.0,2.6775080000000004e-06,0.0,1.0,0.0,636.191360691,411.0
cease,1.0,1.0,9.09453e-06,0.0,1.0,0.0,618.270410367,413.0
learn,1.0,1.0,9.158542e-05,0.0,1.0,0.0,445.266090713,413.0
guest,1.0,1.0,1.835932e-05,0.0,1.0,0.0,804.443196544,414.0
outer,1.0,1.0,2.27653e-05,0.0,1.0,0.0,584.657883369,414.0
plant,1.0,1.0,6.700368e-05,0.0,1.0,0.0,778.672138229,414.0
harem,1.0,1.0,1.379282e-06,0.0,1.0,0.0,626.70712743,415.0
stern,1.0,1.0,1.244022e-05,0.0,1.0,0.0,474.352483801,415.0
grant,1.0,1.0,3.73385e-05,0.0,0.0,1.0,760.818574514,416.0
spice,1.0,1.0,3.998987999999999e-06,0.0,1.0,0.0,632.476457883,417.0
alike,1.0,1.0,1.421084e-05,0.0,1.0,0.0,645.907559395,417.0
cloth,1.0,1.0,1.7212639999999998e-05,0.0,1.0,0.0,1166.53736501,417.0
smart,1.0,1.0,3.256448e-05,0.0,0.0,1.0,562.470410367,417.0
ramen,1.0,1.0,3.873902e-07,0.0,1.0,0.0,545.635421166,418.0
anode,1.0,1.0,2.5620199999999995e-06,0.0,1.0,0.0,602.647516199,418.0
diner,1.0,1.0,3.0273540000000004e-06,0.0,1.0,0.0,694.926565875,418.0
filet,1.0,1.0,3.10658e-07,0.0,1.0,0.0,798.433261339,419.0
spurt,1.0,1.0,9.787326e-07,0.0,1.0,0.0,845.701079914,419.0
ashen,1.0,1.0,1.0155358e-06,0.0,1.0,0.0,550.518358531,419.0
eclat,1.0,1.0,5.35042e-08,0.0,1.0,0.0,668.346868251,420.0
shire,1.0,1.0,8.517304000000002e-07,0.0,1.0,0.0,452.260043197,421.0
snarl,1.0,1.0,1.491962e-06,0.0,1.0,0.0,447.705399568,421.0
thorn,1.0,1.0,3.4461520000000005e-06,0.0,1.0,0.0,911.885529158,421.0
choir,1.0,1.0,4.489952e-06,0.0,1.0,0.0,980.933045356,421.0
water,1.0,1.0,0.0003303872,0.0,1.0,0.0,596.714470842,421.0
irony,1.0,1.0,7.745302e-06,1.0,0.0,0.0,809.505399568,422.0
blare,1.0,1.0,3.33319e-07,0.0,1.0,0.0,563.677321814,423.0
haute,1.0,1.0,8.637756e-07,0.0,1.0,0.0,625.72224622,423.0
truce,1.0,1.0,2.366012e-06,0.0,1.0,0.0,683.154211663,423.0
rainy,1.0,1.0,3.3627880000000003e-06,1.0,0.0,0.0,638.989200864,423.0
swear,1.0,1.0,1.18474e-05,1.0,0.0,0.0,520.186177106,423.0
opine,1.0,1.0,1.991092e-07,0.0,1.0,0.0,753.304103672,424.0
lithe,1.0,1.0,1.0323752e-06,0.0,1.0,0.0,694.837580994,424.0
enact,1.0,1.0,3.367994e-06,0.0,1.0,0.0,689.669978402,424.0
crush,1.0,1.0,7.046590000000001e-06,1.0,0.0,0.0,1047.63801296,424.0
teach,1.0,1.0,3.486796e-05,0.0,1.0,0.0,756.444924406,425.0
agent,1.0,1.0,5.331242e-05,0.0,1.0,0.0,757.124406048,425.0
phone,1.0,1.0,9.411464e-05,0.0,1.0,0.0,868.30237581,425.0
spiel,1.0,1.0,3.862912e-07,0.0,1.0,0.0,532.052699784,426.0
spire,1.0,1.0,1.14992e-06,0.0,1.0,0.0,473.988768898,426.0
laden,1.0,1.0,6.646250000000001e-06,0.0,1.0,0.0,580.965010799,426.0
tuber,1.0,1.0,5.014984e-07,0.0,1.0,0.0,816.62937365,427.0
eater,1.0,1.0,1.289148e-06,0.0,1.0,0.0,637.967170626,427.0
wrath,1.0,1.0,8.685152e-06,0.0,1.0,0.0,1060.56241901,427.0
petal,1.0,1.0,1.0675573999999998e-06,0.0,1.0,0.0,619.266090713,428.0
amend,1.0,1.0,2.584402e-06,0.0,1.0,0.0,865.845356371,428.0
stray,1.0,1.0,4.744684e-06,0.0,1.0,0.0,515.874298056,431.0
eagle,1.0,1.0,8.802929999999999e-06,0.0,1.0,0.0,912.825053996,431.0
pearl,1.0,1.0,1.0015582e-05,0.0,1.0,0.0,537.745140389,431.0
feast,1.0,1.0,1.1086804e-05,0.0,1.0,0.0,564.240172786,431.0
baler,1.0,1.0,8.148156e-08,0.0,1.0,0.0,556.575809935,432.0
pleat,1.0,1.0,1.287074e-07,0.0,1.0,0.0,648.200431965,432.0
chide,1.0,1.0,3.195167999999999e-07,0.0,1.0,0.0,1036.09676026,432.0
smelt,1.0,1.0,1.55889e-06,0.0,1.0,0.0,609.474298056,432.0
bathe,1.0,1.0,2.043996e-06,0.0,1.0,0.0,751.811231102,432.0
cedar,1.0,1.0,3.765026e-06,0.0,1.0,0.0,637.461339093,432.0
decal,1.0,1.0,1.375488e-07,0.0,1.0,0.0,718.537365011,433.0
torus,1.0,1.0,6.53751e-07,0.0,1.0,0.0,552.86349892,433.0
tiger,1.0,1.0,8.578304e-06,0.0,1.0,0.0,666.018142549,433.0
style,1.0,1.0,6.498728000000001e-05,0.0,1.0,0.0,513.085529158,433.0
snipe,1.0,1.0,4.085120000000001e-07,0.0,1.0,0.0,583.330885529,434.0
dairy,1.0,1.0,7.633946e-06,0.0,1.0,0.0,722.921814255,434.0
other,1.0,1.0,0.001275334,0.0,1.0,0.0,682.51663067,434.0
valet,1.0,1.0,2.005048e-06,0.0,1.0,0.0,666.654427646,435.0
delta,1.0,1.0,8.250088000000001e-06,0.0,1.0,0.0,587.394816415,435.0
death,1.0,1.0,0.0002042458,1.0,0.0,0.0,704.676025918,435.0
groan,1.0,1.0,5.503787999999999e-06,0.0,1.0,0.0,784.650971922,436.0
craft,1.0,1.0,1.511196e-05,0.0,1.0,0.0,968.799136069,436.0
scope,1.0,1.0,3.4415240000000005e-05,0.0,1.0,0.0,624.451835853,436.0
track,1.0,1.0,3.963176e-05,0.0,1.0,0.0,958.672570194,436.0
broad,1.0,1.0,4.715768e-05,0.0,1.0,0.0,901.17537797,436.0
clued,1.0,1.0,1.795626e-07,0.0,1.0,0.0,930.174514039,437.0
renal,1.0,1.0,1.6287019999999996e-05,0.0,1.0,0.0,464.577537797,438.0
prose,1.0,1.0,7.961707999999999e-06,0.0,1.0,0.0,494.554211663,439.0
sumac,1.0,1.0,3.265566e-07,0.0,1.0,0.0,901.730021598,440.0
untie,1.0,1.0,8.381442000000001e-07,0.0,1.0,0.0,716.050107991,440.0
strap,1.0,1.0,3.855976e-06,0.0,1.0,0.0,591.239308855,440.0
unite,1.0,1.0,4.5379440000000006e-06,0.0,1.0,0.0,700.96587473,440.0
